timestamp,reqNum
1541570470,12
1541570471,528
1541570472,611
1541570473,650
1541570474,620
1541570475,611
1541570476,523
1541570477,598
1541570478,648
1541570479,624
1541570480,573
1541570481,683
1541570482,669
1541570483,646
1541570484,631
1541570485,591
1541570486,621
1541570487,671
1541570488,654
1541570489,679
1541570490,579
1541570491,415
1541570492,578
1541570493,640
1541570494,651
1541570495,668
1541570496,677
1541570497,643
1541570498,662
1541570499,563
1541570500,205
1541570501,791
1541570502,909
1541570503,1637
1541570504,1682
1541570505,1600
1541570506,1306
1541570507,1742
1541570508,1706
1541570509,1878
1541570510,1758
1541570511,937
1541570512,1790
1541570513,1617
1541570514,1407
1541570515,1460
1541570516,1144
1541570517,1261
1541570518,1784
1541570519,1787
1541570520,1729
1541570521,1446
1541570522,1763
1541570523,1839
1541570524,1780
1541570525,1844
1541570526,1569
1541570527,1816
1541570528,1811
1541570529,1855
1541570530,754
1541570531,1793
1541570532,1637
1541570533,1786
1541570534,1869
1541570535,1334
1541570536,1807
1541570537,1890
1541570538,1842
1541570539,1619
1541570540,1780
1541570541,1843
1541570542,1838
1541570543,1646
1541570544,1839
1541570545,1841
1541570546,1784
1541570547,1604
1541570548,1744
1541570549,1821
1541570550,1805
1541570551,1549
1541570552,1856
1541570553,1794
1541570554,1725
1541570555,1614
1541570556,1349
1541570557,1737
1541570558,1868
1541570559,1911
1541570560,1540
1541570561,1739
1541570562,1637
1541570563,1904
1541570564,1543
1541570565,1815
1541570566,1892
1541570567,1880
1541570568,1582
1541570569,1907
1541570570,1866
1541570571,1812
1541570572,1766
1541570573,1323
1541570574,1620
1541570575,1355
1541570576,1740
1541570577,1377
1541570578,1410
1541570579,1758
1541570580,1741
1541570581,1758
1541570582,1530
1541570583,1837
1541570584,1834
1541570585,1856
1541570586,1545
1541570587,1821
1541570588,1734
1541570589,1637
1541570590,1762
1541570591,1521
1541570592,1793
1541570593,1808
1541570594,1785
1541570595,1439
1541570596,1375
1541570597,687
1541570598,502
1541570599,1732
1541570600,1410
1541570601,1831
1541570602,1871
1541570603,1870
1541570604,1579
1541570605,1899
1541570606,1909
1541570607,1873
1541570608,1447
1541570609,1887
1541570610,1723
1541570611,1892
1541570612,1899
1541570613,506
1541570614,1974
1541570615,1888
1541570616,1866
1541570617,1616
1541570618,1825
1541570619,1903
1541570620,1874
1541570621,1814
1541570622,1623
1541570623,1937
1541570624,1881
1541570625,1895
1541570626,1636
1541570627,1914
1541570628,1906
1541570629,1916
1541570630,1625
1541570631,1895
1541570632,1859
1541570633,1872
1541570634,1598
1541570635,1857
1541570636,1850
1541570637,1783
1541570638,1886
1541570639,1585
1541570640,1721
1541570641,1680
1541570642,1691
1541570643,1543
1541570644,1824
1541570645,1861
1541570646,1838
1541570647,1913
1541570648,1629
1541570649,1797
1541570650,1819
1541570651,1824
1541570652,1592
1541570653,1922
1541570654,1895
1541570655,1744
1541570656,1710
1541570657,1855
1541570658,1912
1541570659,1902
1541570660,1905
1541570661,1600
1541570662,1886
1541570663,1871
1541570664,1871
1541570665,1638
1541570666,1912
1541570667,1926
1541570668,1842
1541570669,1645
1541570670,1915
1541570671,1898
1541570672,1887
1541570673,1906
1541570674,1626
1541570675,1893
1541570676,1946
1541570677,1904
1541570678,1609
1541570679,1905
1541570680,1902
1541570681,1685
1541570682,1612
1541570683,1917
1541570684,1922
1541570685,1907
1541570686,1797
1541570687,1689
1541570688,1883
1541570689,1880
1541570690,1854
1541570691,600
1541570692,1486
1541570693,1903
1541570694,1909
1541570695,1840
1541570696,1666
1541570697,1896
1541570698,1939
1541570699,1901
1541570700,1481
1541570701,1704
1541570702,1768
1541570703,1822
1541570704,1764
1541570705,1630
1541570706,1825
1541570707,1896
1541570708,1861
1541570709,1604
1541570710,1799
1541570711,1877
1541570712,1841
1541570713,1828
1541570714,1609
1541570715,1898
1541570716,1854
1541570717,1873
1541570718,1593
1541570719,1913
1541570720,1774
1541570721,1846
1541570722,1874
1541570723,1681
1541570724,1875
1541570725,1884
1541570726,1835
1541570727,1674
1541570728,1896
1541570729,1874
1541570730,1875
1541570731,1626
1541570732,1867
1541570733,1826
1541570734,1883
1541570735,1886
1541570736,1597
1541570737,1875
1541570738,1910
1541570739,1905
1541570740,1678
1541570741,1826
1541570742,1861
1541570743,1910
1541570744,1678
1541570745,1721
1541570746,1917
1541570747,1883
1541570748,1832
1541570749,1563
1541570750,1855
1541570751,1823
1541570752,1854
1541570753,1580
1541570754,1822
1541570755,1849
1541570756,1505
1541570757,1733
1541570758,1327
1541570759,1632
1541570760,1551
1541570761,1529
1541570762,1715
1541570763,1247
1541570764,1524
1541570765,1909
1541570766,1851
1541570767,1821
1541570768,1414
1541570769,1840
1541570770,1865
1541570771,1872
1541570772,1883
1541570773,428
1541570774,1900
1541570775,1867
1541570776,1868
1541570777,1774
1541570778,744
1541570779,748
1541570780,817
1541570781,813
1541570782,1145
1541570783,1846
1541570784,1683
1541570785,1524
1541570786,1883
1541570787,1818
1541570788,1848
1541570789,1611
1541570790,1855
1541570791,1873
1541570792,1893
1541570793,1876
1541570794,1599
1541570795,1664
1541570796,1934
1541570797,1848
1541570798,1609
1541570799,1867
1541570800,1876
1541570801,1747
1541570802,1655
1541570803,1539
1541570804,1711
1541570805,1840
1541570806,1906
1541570807,1648
1541570808,1902
1541570809,1883
1541570810,1856
1541570811,1911
1541570812,1549
1541570813,1919
1541570814,1926
1541570815,1903
1541570816,1583
1541570817,1882
1541570818,1850
1541570819,1927
